id,poj_unicode,hanji,poj_bunim_unicode,comment,hanlo_comment,tailo,page_number,new_comment
,A,丫,,"siang-chhe, thih-chhe, khui-chhe; a-thâu; lú-pī.","雙叉, 鐵叉, 開叉; ㄚ頭; 女婢.",A1,1,
,A,阿,,"seng-tì ê jī, chhin-chhiūⁿ a-pa, a-ko͘, a-pan, án-ni.","先置 ê 字, 親像 阿爸, 阿姑, 阿班, 按呢.",A1,1,
,A,俹,,"oá-khò, i-oá; oá-lōa, chiū-sī ǹg-bāng lâng pān-sū.","oá靠, 依oá; oá賴, 就是 ǹg望 人 辦事.",A1,1,
,A,𠜲,,thâi cheng-siⁿ chhiah-huih; koah ām-kún.,刣 精牲 刺血; 割 頷頸.,A1,1,
,A,亞,,"a-phiàn, a-phiàn hun-keng; iā-sī seng-tì ê jī.","亞片, 亞片 薰間; 也是 先置 ê 字.",A1,1,
,A,𣵾,,"khut-á-tsúi, kau-lâu-tsúi, iā-sī kó͘-tsá Kam-siok-séng chi̍t-tiâu khoe ê miâ.","窟á水, 溝留水, 也是 古早 甘肅省 一條 溪 ê 名.",A1,1,
,A,洼,,"khut-á-tsúi, kau-lâu-tsúi, iā-sī kó͘-tsá Kam-siok-séng chi̍t-tiâu khoe ê miâ.","窟á水, 溝留水, 也是 古早 甘肅省 一條 溪 ê 名.",A1,1,
,A,㝞,,"chhù bô chiàⁿ, oai, khi-khi ê khoán-sit.","厝 無 正, 歪, khi-khi ê 款式.",A1,1,
,A,䃁,,"thap-o ê tōe, tōe-bīn bô pîⁿ, kham-kham khia̍t-khia̍t.","塌窩 ê 地, 地面 無 平, kham-kham khia̍t-khia̍t.",A1,1,
,A,椏,,"siang-chhe ê chhiū-ki, siang-chhe ê koáiⁿ-á, hō͘ pái-kha ê lâng oē kiâⁿ.","雙叉 ê 樹枝, 雙叉 ê 枴á, hō͘ 跛腳 ê 人 會 行.",A1,1,
,A,㰳,,"lû teh háu ê siaⁿ, chhin-chhiūⁿ pi-ai ê khoán-sit.","驢 teh 哮 ê 聲, 親像 悲哀 ê 款式.",A1,1,
,A,鴉,,"o͘-sek ê chiáu-miâ, o͘-sek; o͘-a; a-phiàn.","烏色 ê 鳥名, 烏色; 烏鴉; 鴉片.",A1,1,
,A,啞,,"é-káu, bōe kóng-oē, chhin-chhiūⁿ a-a-kiò, àn-ni.","啞口, bōe 講話, 親像 啞啞叫, 按呢.",A1,1,
,a,壓,Ap,"a-phiàn; a-put-tó, chiū-sī gín-ná thit-thô ê mi̍h.","阿片; 阿不倒, 就是 gín-á 𨑨迌 ê 物.",a1,1,
,a,—,,"a-ka, chiū-sī ēng ku-á ê kut lâi chè-tsō ê io̍h-miâ.","阿膠, 就是 用 龜á ê 骨 來 製造 ê 藥名.",a1,1,
,a,—,,"a-tsa, am-tsam, chiū-sī kiaⁿ-lâng un-thun ê ì-sù.","腌臢, 腌臢, 就是 驚人 溫吞 ê 意思.",a1,1,
,Á,阿,,"seng-tì ê jī, chhin-chhiūⁿ ""a"" kap ""án"", sio-siāng ì-sù.","先置 ê 字, 親像 ""á"" kap ""俺"", 相像 意思.",A2,1,
,Á,瘂,,"é-káu, chiū-sī bōe oē kóng-oē ê lâng.","啞口, 就是 bōe 會 講話 ê 人.",A2,1,
,Á,㰳,,"lû teh háu ê siaⁿ, chhin-chhiūⁿ pi-ai ê khoán-sit.","驢 teh 哮 ê 聲, 親像 悲哀 ê 款式.",A2,1,
,á,子,Tsú,"bé-jī ê tsō͘-sû, chhin-chhiūⁿ ku-á, káu-á, án-ni.","尾字 ê 助詞, 親像 龜á, 狗á, 按呢.",a2,1,
,á,也,Iá,"á-bē, chiū-sī kap iáu-bē sio-siāng ê ì-sù.","抑未, 就是 kap 猶未 相像 ê 意思.",a2,1,
,á,仔,Tsú,"lok tī bé-jī ê tsō͘-sû, chhin-chhiūⁿ ti-á, káu-á, án-ni.","橐 tī 尾字 ê 助詞, 親像 豬á, 狗á, 按呢.",a2,1,
,á,抑,[E̍k|Ek],"tò-hoán mn̄g ê oē, chhin-chhiūⁿ á-bô, á-m̄-sī, án-ni.","倒反 問 ê 話, 親像 抑無, 抑m̄是, 按呢.",a2,1,
,á,百,Pek,"thòe ""pah"" jī ê jī, chhin-chhiūⁿ ""káu-pah-la̍k"", kóng, ""káu-á-la̍k"".","替 ""百"" 字 ê 字, 親像 ""九百六"", 講, ""九á六"".",a2,1,
,á,—,,"phah-a-chhiùⁿ, chiū-sī kap phah-ka-chhiùⁿ sio-siāng.","phah a啾, 就是 kap phah ka啾 相像.",a2,1,
,á,—,,"bîn-á-tsài; m̄-á, chiū-sī m̄-ài ê ì-sù.","明á載; m̄-á, 就是 m̄-ài ê 意思.",a2,1,
,á,—,,"á-ló, chiū-sī kiò-lâng siaⁿ-bé ê siaⁿ, chhin-chhiūⁿ hoat-á, á-sī hoat-ló, án-ni.","á佬, 就是 叫人 聲尾 ê 聲, 親像 發á, 抑是 發佬, 按呢.",a2,1,
,À,婭,,"nn̄g ê kiáⁿ-sài saⁿ kiò-ìn ê jī, chhin-chiâⁿ.","兩 ê kiáⁿ婿 相 叫應 ê 字, 親chiâⁿ.",A3,1,
,À,稏,,gō͘-kok ê sūi; iā-sī lēng-gōa chi̍t-hō bí ê miâ.,五穀 ê 穗; 也是 另外 一號 米 ê 名.,A3,1,
,À,亞,,khiau-ku; khiap-sì; khah-sòe; chiū-kūn.,曲痀; 怯勢; khah細; 就近.,A3,1,
,À,㝞,,"chhù bô chiàⁿ, khi-khi ê khoán-sit.","厝 無 正, khi-khi ê 款式.",A3,2,
,À,俹,,"i-oá, oá-khò; oá-lōa, chiū-sī ǹg-bāng lâng pān-sū.","依oá, oá靠; oá賴, 就是 ǹg望 人 辦事.",A3,2,
,À,啞,,"é-káu, kóng-oē bōe bêng, à-à-kiò ê siaⁿ.","啞口, 講話 bōe 明, 啞啞叫 ê 聲.",A3,2,
,À,㰳,,"lû teh háu ê siaⁿ, chhin-chhiūⁿ pi-ai ê khoán-sit.","驢 teh 哮 ê 聲, 親像 悲哀 ê 款式.",A3,2,
,À,[椏|掗],,the̍h mi̍h khí-lâi chhe̍k; ó͘ ba̍k-chiu; bián-kióng lâng bóe-mi̍h.,the̍h物 起來 踔; 挖 目睭; 勉強 人 買物.,A3,2,
,à,亦,E̍k,"à-ná-beh, à-ná-m̄, chiū-sī kap ia̍h-ná-beh, ia̍h-ná-m̄ sio-siāng.","à ná beh, à ná m̄, 就是 kap 亦 ná beh, 亦ná m̄ 相像.",a3,2,
,à,—,,"[à-pà|=ah-pà], chiū-sī chiàu ka-kī ê ì-sù lām-sám tsòe.","鴨霸, 就是 照 家己 ê 意思 濫糝 做.",a3,2,
,â,—,,"hō͘ lâng gông-ngia̍h kî-koài ê siaⁿ, chhin-chhiūⁿ â-ioh, án-ni.","hō͘ 人 昂愕 奇怪 ê 聲, 親像 â-ioh, 按呢.",a5,2,
,ā,諾,Lo̍k,"ìn lâng hó ê oē; oē ê bé-siaⁿ; ā-ná-beh, ā-ná-m̄.","應 人 好 ê 話; 話 ê 尾聲; 抑ná neh, ā ná m̄.",a7,2,
,aⁿ,—,,"thàn siâng-khoán ê siaⁿ, chhin-chhiūⁿ aⁿ-aⁿ-háu, i-i-aⁿ-aⁿ, án-ni.","趁 siâng款 ê 聲, 親像 aⁿ-aⁿ哮, i-i-aⁿ-aⁿ, 按呢.",ann1,2,
,áⁿ,倚,Í,"oá-kūn, chhin-chhiūⁿ chhùi-áⁿ-chhùi.","oá近, 親像 嘴áⁿ嘴.",ann2,2,
,áⁿ,仔,Tsú,"tāu ê miâ, chhin-chhiūⁿ kong-áⁿ-tāu.","豆 ê 名, 親像 豇á豆.",ann2,2,
